,url,title,other titles,other urls,scores
23416702,https://en.wikipedia.org/wiki/Interbreeding_of_dingoes_with_other_domestic_dogs,Interbreeding of dingoes with other domestic dogs,"['Canid hybrid', 'Dog', 'Origin of the domestic dog', 'Cat', 'Feral cat']","['https://en.wikipedia.org/wiki/Canid_hybrid', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog', 'https://en.wikipedia.org/wiki/Cat', 'https://en.wikipedia.org/wiki/Feral_cat']","[0.36, 0.23, 0.12, 0.11, 0.1]"
5740890,https://en.wikipedia.org/wiki/Canine_reproduction,Canine reproduction,"['Dog', 'Cat', 'Origin of the domestic dog', 'Human interaction with cats', 'Canid hybrid']","['https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Cat', 'https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog', 'https://en.wikipedia.org/wiki/Human_interaction_with_cats', 'https://en.wikipedia.org/wiki/Canid_hybrid']","[0.38, 0.27, 0.22, 0.19, 0.16]"
31752133,https://en.wikipedia.org/wiki/PDSA_Certificate_for_Animal_Bravery_or_Devotion,PDSA Certificate for Animal Bravery or Devotion,"['Dog World (newspaper)', 'Dog', 'Dog meat', 'Dog bite', 'Dog bite prevention']","['https://en.wikipedia.org/wiki/Dog_World_(newspaper)', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Dog_meat', 'https://en.wikipedia.org/wiki/Dog_bite', 'https://en.wikipedia.org/wiki/Dog_bite_prevention']","[0.11, 0.1, 0.09, 0.08, 0.07]"
33069847,https://en.wikipedia.org/wiki/Cropping_(animal),Cropping (animal),"['Puppy', 'Dog', 'Dog bite', 'Cat', 'Body language of dogs']","['https://en.wikipedia.org/wiki/Puppy', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Dog_bite', 'https://en.wikipedia.org/wiki/Cat', 'https://en.wikipedia.org/wiki/Body_language_of_dogs']","[0.27, 0.11, 0.08, 0.08, 0.08]"
32912733,https://en.wikipedia.org/wiki/Pet_Check_Technology,Pet Check Technology,"['Pet Fed India', 'Dog', 'Dog food', 'Dog daycare', 'Dog bite']","['https://en.wikipedia.org/wiki/Pet_Fed_India', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Dog_food', 'https://en.wikipedia.org/wiki/Dog_daycare', 'https://en.wikipedia.org/wiki/Dog_bite']","[0.09, 0.08, 0.07, 0.06, 0.06]"
24243398,https://en.wikipedia.org/wiki/Dog_daycare,Dog daycare,"['Dog', 'Dog meat', 'International Cat Day', 'Dog World (newspaper)', 'Dog biscuit']","['https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Dog_meat', 'https://en.wikipedia.org/wiki/International_Cat_Day', 'https://en.wikipedia.org/wiki/Dog_World_(newspaper)', 'https://en.wikipedia.org/wiki/Dog_biscuit']","[0.18, 0.15, 0.14, 0.14, 0.14]"
17862013,https://en.wikipedia.org/wiki/Dogs_in_religion,Dogs in religion,"['Dog', 'Dogs in ancient China', 'Dogs in Mesoamerica', 'Cats in ancient Egypt', 'Panhu']","['https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Dogs_in_ancient_China', 'https://en.wikipedia.org/wiki/Dogs_in_Mesoamerica', 'https://en.wikipedia.org/wiki/Cats_in_ancient_Egypt', 'https://en.wikipedia.org/wiki/Panhu']","[0.25, 0.2, 0.2, 0.18, 0.18]"
34442389,https://en.wikipedia.org/wiki/The_Ten_Commandments_of_Dog_Ownership,The Ten Commandments of Dog Ownership,"['The Dog Pillow', 'Walter the Farting Dog', 'Dog', 'Dog World (newspaper)', 'Dog meat']","['https://en.wikipedia.org/wiki/The_Dog_Pillow', 'https://en.wikipedia.org/wiki/Walter_the_Farting_Dog', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Dog_World_(newspaper)', 'https://en.wikipedia.org/wiki/Dog_meat']","[0.16, 0.16, 0.1, 0.08, 0.08]"
178449,https://en.wikipedia.org/wiki/Roan_(color),Roan (color),"['Cat coat genetics', 'Point coloration', 'Deaf white cat', 'Dog', 'Cat']","['https://en.wikipedia.org/wiki/Cat_coat_genetics', 'https://en.wikipedia.org/wiki/Point_coloration', 'https://en.wikipedia.org/wiki/Deaf_white_cat', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Cat']","[0.17, 0.16, 0.13, 0.07, 0.07]"
36477294,https://en.wikipedia.org/wiki/Panhu,Panhu,"['Dogs in religion', 'Dogs in ancient China', 'Lychee and Dog Meat Festival', 'Dog meat', 'Cultural depictions of cats']","['https://en.wikipedia.org/wiki/Dogs_in_religion', 'https://en.wikipedia.org/wiki/Dogs_in_ancient_China', 'https://en.wikipedia.org/wiki/Lychee_and_Dog_Meat_Festival', 'https://en.wikipedia.org/wiki/Dog_meat', 'https://en.wikipedia.org/wiki/Cultural_depictions_of_cats']","[0.18, 0.17, 0.13, 0.1, 0.09]"
31804256,https://en.wikipedia.org/wiki/The_Dog_Pillow,The Dog Pillow,"['The Ten Commandments of Dog Ownership', 'Dog', 'Cat', 'Origin of the domestic dog', 'Dogs in ancient China']","['https://en.wikipedia.org/wiki/The_Ten_Commandments_of_Dog_Ownership', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Cat', 'https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog', 'https://en.wikipedia.org/wiki/Dogs_in_ancient_China']","[0.16, 0.12, 0.11, 0.09, 0.08]"
37049778,https://en.wikipedia.org/wiki/Queen_Elizabeth's_corgis,Queen Elizabeth's corgis,"['Dog daycare', 'Dog World (newspaper)', 'Dog', 'Cat meat', 'Dog meat']","['https://en.wikipedia.org/wiki/Dog_daycare', 'https://en.wikipedia.org/wiki/Dog_World_(newspaper)', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Cat_meat', 'https://en.wikipedia.org/wiki/Dog_meat']","[0.08, 0.07, 0.07, 0.06, 0.06]"
22345050,https://en.wikipedia.org/wiki/Dog_World_(newspaper),Dog World (newspaper),"['Indian National Kennel Club', 'Breed type (dog)', 'Dog', 'Lists of dogs', 'Kennel']","['https://en.wikipedia.org/wiki/Indian_National_Kennel_Club', 'https://en.wikipedia.org/wiki/Breed_type_(dog)', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Lists_of_dogs', 'https://en.wikipedia.org/wiki/Kennel']","[0.25, 0.22, 0.2, 0.18, 0.15]"
5141410,https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog,Origin of the domestic dog,"['Dog', 'Canid hybrid', 'Cat', 'Pack (canine)', 'Dogs in ancient China']","['https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Canid_hybrid', 'https://en.wikipedia.org/wiki/Cat', 'https://en.wikipedia.org/wiki/Pack_(canine)', 'https://en.wikipedia.org/wiki/Dogs_in_ancient_China']","[0.59, 0.41, 0.28, 0.23, 0.22]"
9369613,https://en.wikipedia.org/wiki/Cynophobia,Cynophobia,"['Therapy cat', 'Ailurophobia', 'Dog', 'Canine physical therapy', 'Human–canine bond']","['https://en.wikipedia.org/wiki/Therapy_cat', 'https://en.wikipedia.org/wiki/Ailurophobia', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Canine_physical_therapy', 'https://en.wikipedia.org/wiki/Human–canine_bond']","[0.32, 0.3, 0.17, 0.16, 0.13]"
10579085,https://en.wikipedia.org/wiki/Walter_the_Farting_Dog,Walter the Farting Dog,"['The Ten Commandments of Dog Ownership', 'Dog', 'My Life in Dog Years', 'Dog meat', 'Cat']","['https://en.wikipedia.org/wiki/The_Ten_Commandments_of_Dog_Ownership', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/My_Life_in_Dog_Years', 'https://en.wikipedia.org/wiki/Dog_meat', 'https://en.wikipedia.org/wiki/Cat']","[0.16, 0.1, 0.09, 0.08, 0.07]"
38928070,https://en.wikipedia.org/wiki/Puppy_pregnancy_syndrome,Puppy pregnancy syndrome,"['Puppy', 'Canine reproduction', 'Dog', 'Cat', 'Indian National Kennel Club']","['https://en.wikipedia.org/wiki/Puppy', 'https://en.wikipedia.org/wiki/Canine_reproduction', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Cat', 'https://en.wikipedia.org/wiki/Indian_National_Kennel_Club']","[0.15, 0.11, 0.1, 0.07, 0.07]"
31903693,https://en.wikipedia.org/wiki/Human–canine_bond,Human–canine bond,"['Dog', 'Therapy cat', 'Canine physical therapy', 'Cynophobia', 'Origin of the domestic dog']","['https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Therapy_cat', 'https://en.wikipedia.org/wiki/Canine_physical_therapy', 'https://en.wikipedia.org/wiki/Cynophobia', 'https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog']","[0.21, 0.2, 0.13, 0.13, 0.11]"
849619,https://en.wikipedia.org/wiki/Mastiff,Mastiff,"['Breed type (dog)', 'Lists of dogs', 'Rare breed (dog)', 'Dog', 'Becerrillo']","['https://en.wikipedia.org/wiki/Breed_type_(dog)', 'https://en.wikipedia.org/wiki/Lists_of_dogs', 'https://en.wikipedia.org/wiki/Rare_breed_(dog)', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Becerrillo']","[0.13, 0.12, 0.07, 0.06, 0.05]"
21303741,https://en.wikipedia.org/wiki/My_Life_in_Dog_Years,My Life in Dog Years,"['Dog', 'Dog bite', 'Dog bite prevention', 'Dog World (newspaper)', 'Big Miracle (book)']","['https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Dog_bite', 'https://en.wikipedia.org/wiki/Dog_bite_prevention', 'https://en.wikipedia.org/wiki/Dog_World_(newspaper)', 'https://en.wikipedia.org/wiki/Big_Miracle_(book)']","[0.15, 0.11, 0.11, 0.11, 0.1]"
5205615,https://en.wikipedia.org/wiki/Puppy,Puppy,"['Cropping (animal)', 'Dog', 'Puppy pregnancy syndrome', 'Canine reproduction', 'Kitten']","['https://en.wikipedia.org/wiki/Cropping_(animal)', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Puppy_pregnancy_syndrome', 'https://en.wikipedia.org/wiki/Canine_reproduction', 'https://en.wikipedia.org/wiki/Kitten']","[0.27, 0.16, 0.15, 0.14, 0.12]"
42498898,https://en.wikipedia.org/wiki/Bog_Dog,Bog Dog,"['Rolfi', 'Lists of dogs', 'Cats in ancient Egypt', 'Dog', 'Dog bite']","['https://en.wikipedia.org/wiki/Rolfi', 'https://en.wikipedia.org/wiki/Lists_of_dogs', 'https://en.wikipedia.org/wiki/Cats_in_ancient_Egypt', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Dog_bite']","[0.42, 0.15, 0.11, 0.05, 0.05]"
44444481,https://en.wikipedia.org/wiki/Becerrillo,Becerrillo,"['Dog', 'Rare breed (dog)', 'Dog meat', 'Dogs in religion', 'Dog daycare']","['https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Rare_breed_(dog)', 'https://en.wikipedia.org/wiki/Dog_meat', 'https://en.wikipedia.org/wiki/Dogs_in_religion', 'https://en.wikipedia.org/wiki/Dog_daycare']","[0.1, 0.08, 0.07, 0.07, 0.07]"
11159584,https://en.wikipedia.org/wiki/Chiengora,Chiengora,"['Dog', 'Dog daycare', 'Dog meat', 'Cultural depictions of cats', 'Dog food']","['https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Dog_daycare', 'https://en.wikipedia.org/wiki/Dog_meat', 'https://en.wikipedia.org/wiki/Cultural_depictions_of_cats', 'https://en.wikipedia.org/wiki/Dog_food']","[0.09, 0.06, 0.06, 0.06, 0.06]"
37331361,https://en.wikipedia.org/wiki/Lists_of_dogs,Lists of dogs,"['Indian National Kennel Club', 'Rare breed (dog)', 'Breed type (dog)', 'Dog World (newspaper)', 'Bog Dog']","['https://en.wikipedia.org/wiki/Indian_National_Kennel_Club', 'https://en.wikipedia.org/wiki/Rare_breed_(dog)', 'https://en.wikipedia.org/wiki/Breed_type_(dog)', 'https://en.wikipedia.org/wiki/Dog_World_(newspaper)', 'https://en.wikipedia.org/wiki/Bog_Dog']","[0.22, 0.21, 0.19, 0.18, 0.15]"
47048387,https://en.wikipedia.org/wiki/Lychee_and_Dog_Meat_Festival,Lychee and Dog Meat Festival,"['Dog meat', 'Cat meat', 'Dogs in ancient China', 'Dog', 'Pet Fed India']","['https://en.wikipedia.org/wiki/Dog_meat', 'https://en.wikipedia.org/wiki/Cat_meat', 'https://en.wikipedia.org/wiki/Dogs_in_ancient_China', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Pet_Fed_India']","[0.52, 0.33, 0.17, 0.14, 0.13]"
1505145,https://en.wikipedia.org/wiki/Saint_Guinefort,Saint Guinefort,"['Dogs in religion', 'Cat-burning', 'Dog', 'Cultural depictions of cats', 'Dogs in Mesoamerica']","['https://en.wikipedia.org/wiki/Dogs_in_religion', 'https://en.wikipedia.org/wiki/Cat-burning', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Cultural_depictions_of_cats', 'https://en.wikipedia.org/wiki/Dogs_in_Mesoamerica']","[0.14, 0.08, 0.07, 0.05, 0.05]"
47079044,https://en.wikipedia.org/wiki/Jed_(wolfdog),Jed (wolfdog),"['Canid hybrid', 'Origin of the domestic dog', 'Dog', 'Big Miracle (book)', 'Pack (canine)']","['https://en.wikipedia.org/wiki/Canid_hybrid', 'https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Big_Miracle_(book)', 'https://en.wikipedia.org/wiki/Pack_(canine)']","[0.13, 0.12, 0.09, 0.09, 0.09]"
76940,https://en.wikipedia.org/wiki/Service_dog,Service dog,"['Dog', 'Therapy cat', 'Dog daycare', 'Dog bite', 'Human–canine bond']","['https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Therapy_cat', 'https://en.wikipedia.org/wiki/Dog_daycare', 'https://en.wikipedia.org/wiki/Dog_bite', 'https://en.wikipedia.org/wiki/Human–canine_bond']","[0.16, 0.14, 0.12, 0.12, 0.1]"
4269567,https://en.wikipedia.org/wiki/Dog,Dog,"['Origin of the domestic dog', 'Cat', 'Canine reproduction', 'Canid hybrid', 'Human interaction with cats']","['https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog', 'https://en.wikipedia.org/wiki/Cat', 'https://en.wikipedia.org/wiki/Canine_reproduction', 'https://en.wikipedia.org/wiki/Canid_hybrid', 'https://en.wikipedia.org/wiki/Human_interaction_with_cats']","[0.59, 0.45, 0.38, 0.37, 0.32]"
42707354,https://en.wikipedia.org/wiki/Canine_Efficiency,Canine Efficiency,"['Dog', 'Canine reproduction', 'Dog bite prevention', 'Human–canine bond', 'Rabies in Haiti']","['https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Canine_reproduction', 'https://en.wikipedia.org/wiki/Dog_bite_prevention', 'https://en.wikipedia.org/wiki/Human–canine_bond', 'https://en.wikipedia.org/wiki/Rabies_in_Haiti']","[0.06, 0.05, 0.05, 0.05, 0.05]"
50714180,https://en.wikipedia.org/wiki/Dog_Parker,Dog Parker,"['Dog', 'Dog meat', 'Dog World (newspaper)', 'Dog bite', 'Service dog']","['https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Dog_meat', 'https://en.wikipedia.org/wiki/Dog_World_(newspaper)', 'https://en.wikipedia.org/wiki/Dog_bite', 'https://en.wikipedia.org/wiki/Service_dog']","[0.11, 0.08, 0.07, 0.07, 0.07]"
51058554,https://en.wikipedia.org/wiki/Drafting_dog,Drafting dog,"['Dog', 'Dog bite', 'Lists of dogs', 'Rare breed (dog)', 'Puppy']","['https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Dog_bite', 'https://en.wikipedia.org/wiki/Lists_of_dogs', 'https://en.wikipedia.org/wiki/Rare_breed_(dog)', 'https://en.wikipedia.org/wiki/Puppy']","[0.13, 0.1, 0.09, 0.09, 0.08]"
51676708,https://en.wikipedia.org/wiki/Indian_National_Kennel_Club,Indian National Kennel Club,"['Kennel', 'Dog World (newspaper)', 'Lists of dogs', 'Breed type (dog)', 'Dog']","['https://en.wikipedia.org/wiki/Kennel', 'https://en.wikipedia.org/wiki/Dog_World_(newspaper)', 'https://en.wikipedia.org/wiki/Lists_of_dogs', 'https://en.wikipedia.org/wiki/Breed_type_(dog)', 'https://en.wikipedia.org/wiki/Dog']","[0.3, 0.25, 0.22, 0.22, 0.12]"
3279728,https://en.wikipedia.org/wiki/Dog_meat,Dog meat,"['Cat meat', 'Lychee and Dog Meat Festival', 'Dog', 'Dog food', 'Dogs in ancient China']","['https://en.wikipedia.org/wiki/Cat_meat', 'https://en.wikipedia.org/wiki/Lychee_and_Dog_Meat_Festival', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Dog_food', 'https://en.wikipedia.org/wiki/Dogs_in_ancient_China']","[0.53, 0.52, 0.29, 0.25, 0.21]"
236573,https://en.wikipedia.org/wiki/Dog_food,Dog food,"['Dog biscuit', 'Dog meat', 'Dog', 'Cat', 'Cat meat']","['https://en.wikipedia.org/wiki/Dog_biscuit', 'https://en.wikipedia.org/wiki/Dog_meat', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Cat', 'https://en.wikipedia.org/wiki/Cat_meat']","[0.25, 0.25, 0.24, 0.2, 0.18]"
52014686,https://en.wikipedia.org/wiki/Dogs_in_the_American_Revolutionary_War,Dogs in the American Revolutionary War,"['Dog', 'Cat', 'Origin of the domestic dog', 'Dog bite', 'Dogs in religion']","['https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Cat', 'https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog', 'https://en.wikipedia.org/wiki/Dog_bite', 'https://en.wikipedia.org/wiki/Dogs_in_religion']","[0.16, 0.12, 0.1, 0.09, 0.09]"
53824388,https://en.wikipedia.org/wiki/Rolfi,Rolfi,"['Bog Dog', 'Dog', 'Dogs in Mesoamerica', 'Dogs in ancient China', 'Dog bite']","['https://en.wikipedia.org/wiki/Bog_Dog', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Dogs_in_Mesoamerica', 'https://en.wikipedia.org/wiki/Dogs_in_ancient_China', 'https://en.wikipedia.org/wiki/Dog_bite']","[0.42, 0.04, 0.04, 0.04, 0.03]"
53874996,https://en.wikipedia.org/wiki/Dog_bite_prevention,Dog bite prevention,"['Dog bite', 'Cat bite', 'Body language of dogs', 'Tail wagging by dogs', 'Rabies in Haiti']","['https://en.wikipedia.org/wiki/Dog_bite', 'https://en.wikipedia.org/wiki/Cat_bite', 'https://en.wikipedia.org/wiki/Body_language_of_dogs', 'https://en.wikipedia.org/wiki/Tail_wagging_by_dogs', 'https://en.wikipedia.org/wiki/Rabies_in_Haiti']","[0.56, 0.41, 0.39, 0.27, 0.26]"
53903332,https://en.wikipedia.org/wiki/Body_language_of_dogs,Body language of dogs,"['Tail wagging by dogs', 'Dog bite prevention', 'Dog bite', 'Dog', 'Dog meat']","['https://en.wikipedia.org/wiki/Tail_wagging_by_dogs', 'https://en.wikipedia.org/wiki/Dog_bite_prevention', 'https://en.wikipedia.org/wiki/Dog_bite', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Dog_meat']","[0.61, 0.39, 0.21, 0.16, 0.1]"
53920285,https://en.wikipedia.org/wiki/Tail_wagging_by_dogs,Tail wagging by dogs,"['Body language of dogs', 'Dog bite prevention', 'Tail sailing', 'Dog', 'Dog bite']","['https://en.wikipedia.org/wiki/Body_language_of_dogs', 'https://en.wikipedia.org/wiki/Dog_bite_prevention', 'https://en.wikipedia.org/wiki/Tail_sailing', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Dog_bite']","[0.61, 0.27, 0.14, 0.12, 0.11]"
3304092,https://en.wikipedia.org/wiki/Dog_bite,Dog bite,"['Dog bite prevention', 'Cat bite', 'Dog', 'Feline zoonosis', 'Body language of dogs']","['https://en.wikipedia.org/wiki/Dog_bite_prevention', 'https://en.wikipedia.org/wiki/Cat_bite', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Feline_zoonosis', 'https://en.wikipedia.org/wiki/Body_language_of_dogs']","[0.56, 0.46, 0.31, 0.21, 0.21]"
53984662,https://en.wikipedia.org/wiki/Rabies_in_Haiti,Rabies in Haiti,"['Cat bite', 'Dog bite prevention', 'Dog bite', 'Feline zoonosis', 'Dog']","['https://en.wikipedia.org/wiki/Cat_bite', 'https://en.wikipedia.org/wiki/Dog_bite_prevention', 'https://en.wikipedia.org/wiki/Dog_bite', 'https://en.wikipedia.org/wiki/Feline_zoonosis', 'https://en.wikipedia.org/wiki/Dog']","[0.27, 0.26, 0.18, 0.15, 0.14]"
54435831,https://en.wikipedia.org/wiki/Pet_Fed_India,Pet Fed India,"['Lychee and Dog Meat Festival', 'Dog food', 'Pet Check Technology', 'Dog daycare', 'Dog']","['https://en.wikipedia.org/wiki/Lychee_and_Dog_Meat_Festival', 'https://en.wikipedia.org/wiki/Dog_food', 'https://en.wikipedia.org/wiki/Pet_Check_Technology', 'https://en.wikipedia.org/wiki/Dog_daycare', 'https://en.wikipedia.org/wiki/Dog']","[0.13, 0.11, 0.09, 0.08, 0.08]"
8886648,https://en.wikipedia.org/wiki/Cattery,Cattery,"['Kennel', 'Cat', 'Cultural depictions of cats', 'Human interaction with cats', 'Cat meat']","['https://en.wikipedia.org/wiki/Kennel', 'https://en.wikipedia.org/wiki/Cat', 'https://en.wikipedia.org/wiki/Cultural_depictions_of_cats', 'https://en.wikipedia.org/wiki/Human_interaction_with_cats', 'https://en.wikipedia.org/wiki/Cat_meat']","[0.34, 0.1, 0.1, 0.09, 0.08]"
17701542,https://en.wikipedia.org/wiki/KattenKabinet,KattenKabinet,"['Húsavík Whale Museum', 'Hermitage cats', 'Cultural depictions of cats', 'Cat', 'Cats in ancient Egypt']","['https://en.wikipedia.org/wiki/Húsavík_Whale_Museum', 'https://en.wikipedia.org/wiki/Hermitage_cats', 'https://en.wikipedia.org/wiki/Cultural_depictions_of_cats', 'https://en.wikipedia.org/wiki/Cat', 'https://en.wikipedia.org/wiki/Cats_in_ancient_Egypt']","[0.17, 0.13, 0.13, 0.07, 0.07]"
