,title,dist1_titles
35843159,Outline of fish,"['National Fish Habitat Initiative', 'Fear of fish', 'lamprey', 'Genetically modified fish', 'white shark', 'Digital Fish Library', 'Fish locomotion', 'hagfish', 'Otolith', 'FishBase', 'Gill slit', 'Outline (list)', 'Coastal fish', 'Prehistoric fish', 'Gill', 'Barbel (anatomy)', 'Whitefish (fisheries term)', 'Shark tooth', 'pollock', 'Ichthyoallyeinotoxism', 'Wikipedia:Outlines', 'Oily fish', 'Public aquarium', 'Coldwater fish', 'Hyomandibula', 'Forage fish', 'Pelagic fish', 'Marine biology', 'Ichthyology', 'Recreational fishing', 'Environmental effects of fishing', 'Natural resource', 'Limb (anatomy)', 'Freshwater fish', 'Diel vertical migration', 'William Beebe', 'Spawn (biology)', 'Ichthyology terms', 'Outline of fishing', 'Electric fish', 'Mouthbrooder', 'Fish development', 'Dorsal fin', 'Fish scale', 'Milt', 'Predatory fish', 'Pseudobranch', 'Operculum (fish)', 'Mauthner cell', 'Seafood', 'Gilbert Ichthyological Society', 'Fish reproduction', 'Aquatic predation', 'sardine', 'Fish anatomy', 'Clasper', 'Fish kill', 'ectotherm', 'Deep sea fish', 'Weberian apparatus', 'Aquaculture', 'Fish farming', 'gulper', 'Ethnoichthyology', 'Bubble nest', 'Filter feeder', 'salmon', 'Anguilliformity', 'Sardine run', 'American Society of Ichthyologists and Herpetologists', 'Electroreception', 'Fish migration', 'billfish', 'Bait ball', 'Glossohyal', 'Jacques Cousteau', 'Vision in fishes', 'Walking fish', 'Wild fish', 'Fishes of the World', 'craniate', 'Salmon run', 'Aquarium', 'Undulatory locomotion', 'Organism', 'Rough fish', 'shark', 'Ampullae of Lorenzini', 'Bottom feeder', 'Farmed fish', 'Diversity of fish', 'Photophore', 'Roe', 'Game fish', 'flatfish', 'mackerel', 'Batoidea', 'Cleaner fish', 'ocean', 'History of fishing', 'tuna', 'Animal', 'Demersal fish', 'Shoaling and schooling', 'Salvelinus', 'anchovy', 'Marine habitats', 'Lateral line', 'chondrichthyes', 'Fishkeeping', 'Coarse fish', 'Ichthyological Society of Hong Kong', 'Aquarium fish', 'Pharyngeal teeth', 'gudgeon (fish)', 'Bait fish', 'Venomous fish', 'Groundfish', 'abyssal zone', 'Aquatic animal', 'Fin and flipper locomotion', 'Angling', 'Vertebrate', 'Outline of the fishing industry', 'Swim bladder', ""Leydig's organ"", 'Coral reef fish', 'bony fish', 'Schreckstoff', 'Shark cartilage', 'paraphyletic', 'Spawning triggers', 'Fish as food', 'Tropical fish', 'Amphibious fish', 'Ichthyoplankton', 'Overfishing', 'Flying fish', 'gill', 'Lepidophagy', 'Egg case (Chondrichthyes)', 'Catch and release', 'Predator fish', 'Marine vertebrates', 'Paedophagy', 'anglerfish', 'Digit (anatomy)', 'Pain in fish', 'herring', 'Fish', 'Outline of fisheries', 'North American Native Fishes Association', 'Gill raker', 'cod', 'hadal zone']"
44442359,Category:Fish by adaptation,
32624811,Category:Fish by location,
48544133,Category:Fish and humans,"['aquarists', 'Aquarium', 'Biology', 'ichthyology', 'Fisherman']"
39031173,Category:Fish taxonomy,['tr:Kategori:Balık sınıflandırması']
49437687,Category:Fish cell lines,
8341386,Portal:Fish,
53983075,Category:Fish by century of formal description,
48665904,Category:Fish by year of formal description,
54094322,Category:Fish redirects,
49528720,Category:Fish in heraldry,
33777,Whale,"['myoglobin', 'baleen whale', 'archaeocetes', 'Caudal fin', 'cementum', 'Vikings', 'rheumatism', 'dwarf sperm whale', 'Whippomorpha', 'Great Spirit', 'dorsal fin', 'southern right whale', 'Pinniped', ""Barnum's American Museum"", 'Whale watching', ""Il n'y a plus rien"", 'pinnipeds', 'hagfish', 'whale oil', 'St. Vincent and the Grenadines', 'Vulnerable species', 'International Whaling Commission', 'right whales', 'Ezekiel', 'Rudyard Kipling', 'Pacific Islanders', 'porpoises', 'bowhead whales', 'Book of Genesis', 'polychaetes', 'Mysticeti', 'Abraham Storck', 'corneal epithelium', 'oesophagus', 'Pyloric stomach', 'tropics', 'Balaenidae', 'Old English', 'Indohyus', 'cold seep', 'camelid', 'convergent evolution', 'Endangered species', 'Physeteroidea', 'whale watching', 'marine mammal', 'Old Norse', 'sheep', 'Australia', 'Ziphioidea', 'Brain size', 'bubble ring', 'Inuit', 'Sperm whale', 'Bar Harbor, Maine', 'crinoline', 'fin whales', 'Acoustic impedance', 'Critically Endangered', 'Seine fishing', 'vortex', 'sperm whale', 'Aquatic ecosystem', 'bowhead whale', 'Whale faeces', 'dolphinarium', 'proximal', 'Suidae', 'Ambulocetus', 'even-toed ungulate', 'pygmy killer whale', 'Antwerp', 'Argentina', 'creation myth', 'pilot whale', 'right whale', 'Marine (ocean)', 'haemoglobin', 'blowhole (anatomy)', 'streamline (fluid dynamics)', 'tapir', 'High German', 'cattle', 'Basilosaurus', 'pelican', 'melon (cetacean)', 'Data Deficient', 'Animal echolocation', 'natural resource', 'Book of Jonah', 'dBm', 'bat', 'Family (biology)', 'beluga whale', 'Animalia', 'climate change', 'Archaeocetes', 'Gray whale', 'sexual dimorphism', 'tapetum lucidum', 'corset', 'Job (biblical figure)', 'krill', 'capital (architecture)', 'Delphinidae', 'Artiodactyla', 'river dolphins', 'Alessandro Farnese, Duke of Parma and Piacenza', 'Chordata', 'toroid', 'Sea', 'Norsemen', 'French Polynesia', 'Bible', 'North Atlantic right whale', 'dolphin', 'harpoon', 'humpback whale', 'Indian Ocean Whale Sanctuary', 'medieval', 'whale sound', 'International Union for Conservation of Nature', 'false killer whale', 'cochlea', 'functionally extinct', 'decompression sickness', 'Tylopoda', 'Cetruminantia', 'placental mammal', 'Physeteridae', 'Whale vocalization', 'antelope', 'Odontoceti', 'Cetacean stranding', 'neritic', 'Modern Marvels', 'rorqual', 'Decibel watt', 'frequency modulation', 'hydrogen sulfide', 'Richard Lydekker', 'Ruminantia', 'Hippopotamidae', 'shark', 'biosonar', 'Australian Aborigines', 'Cetotheriidae', 'baleen', 'hippopotamus', 'Pagophily', 'Whale Rider', 'Fundic stomach', 'horse', 'leviathan', 'Niki Caro', 'middle ear', 'Monstro', 'Cetacean surfacing behaviour', 'spindle neurons', 'Cetancodontamorpha', 'whale meat', 'Moscow', 'submarine', 'porpoise', 'Oswald Brierly', 'Kogiidae', 'New York City', 'artiodactyl', 'Humpback whale', 'waterway', 'encephalization quotient', 'Endotherm', 'Eschrichtiidae', 'Stone Age', 'whaling', 'blue whale', 'Patagonia', 'gastrointestinal cancer', 'gray whale', 'squid', 'whalebone', 'toothed whale', 'beaked whale', 'narwhal', 'Gospel of Matthew', 'Ferae', 'Protocetus', 'biomusic', 'Just So Stories', 'Léo Ferré', 'Walking with Prehistoric Beasts', 'crustaceans', 'St. Petersburg', 'SeaWorld San Diego', 'Artiofabula', 'Laurasiatheria', 'millisecond', 'Churchill River (Hudson Bay)', 'fin whale', 'phytoplankton', 'Russian Navy', 'dolphins', 'order (biology)', 'Mammalia', 'Balaenopteridae', 'ultrasound', 'Knot (unit)', 'Whaling', 'Tooth enamel', 'common minke whale', 'Herman Melville', 'Cetacea', 'cone cell', 'hydrothermal vent', 'melon-headed whale', 'bycatch', 'Helix', 'Newfoundland', 'Monodontidae', 'plankton', 'blubber', 'Mozac', 'chevrotain', 'olfactory lobes', 'Mocha Dick', 'Perissodactyla', 'chemoautotrophic', 'Sochi', 'Neontology', 'anthracotheres', 'cranium', 'proventriculus', 'Jonah in Islam', 'rod cell', 'keratin', 'facial expression', 'Southern Ocean Whale Sanctuary', 'Mya (unit)', 'Eden, New South Wales', 'vomeronasal organ', 'Ogg', 'Moby Dick', 'Allometric', 'ambergris', 'sonar', 'history of the world', 'Pinocchio', 'Persistent organic pollutant', 'Ojo de Liebre Lagoon', 'alternative medicine', 'Delphinoidea', 'dentine', 'baleen plates', 'Blowhole (anatomy)', 'marine pollution', 'History of Basque whaling', 'Critically Endangered species', 'PBS', 'Cetartiodactyla', 'thoracic vertebrae', 'photic zone', 'Gillnetting', 'Lipotoidea', 'brain to body mass ratio', 'killer whale', 'South Africa', 'R/K selection theory', 'The Pall Mall Gazette', 'United States Navy', 'Ziphiidae', 'clade', 'rhino', 'Naval mine', 'wikt:fusiform', 'sister clade']"
1543375,Category:Whaling,['whales']
30900743,Category:Whale collisions with ships,
34921437,Category:Whale conservation,
851060,Cetacean stranding,"['baleen whale', 'Exploding whale', 'beach', 'nucleate', 'Marine Mammal Stranding Center', 'Māori people', 'attenuate', 'University of Tasmania', 'Nature (journal)', 'Saint-Clément-des-Baleines', 'cetacea', 'whale fall', 'Antarctic', 'tidal flow', 'Tangaroa', 'Flinders Bay, Western Australia', ""Cuvier's beaked whale"", 'Alaska', 'hemorrhaging', 'porpoises', 'Golden Bay', 'Puerto Natales', 'Chile', 'Great white shark', 'cetologist', 'dehydration', 'Katwijk', 'Australia', 'seabed topography', 'Vancouver Island', 'sperm whale', 'University of Western Australia', 'ABC News (Australia)', 'Woods Hole Oceanographic Institute', 'pilot whale', 'fiord', 'mechanical ventilation', 'sei whale', 'New Zealand', 'Animal echolocation', 'active sonar', 'Geographe Bay, Western Australia', 'Esaias van den Velde', 'Cook Strait', 'coastline', 'Dead body', 'Gulf of Penas', 'Greece', 'Spanish Navy', 'Iceland', 'Crozet Islands', 'Península Valdés', 'Scavenger', 'decompression sickness', 'botulism', 'Cadaver', 'blowhole (biology)', 'Morgunblaðið', 'resonance', 'Pygmy sperm whale', 'South America', 'Peloponnese', 'cetacean', 'Patagonia', 'squid', 'State of Washington', 'beaked whale', 'toothed whale', 'Ocean current', 'Whale', 'wind', 'Decomposition', 'necropsies', 'Mahia Beach', 'Farewell Spit', 'Bahamas', 'Ngāi Tahu', 'taonga', 'Île de Ré', 'tapu (Polynesian culture)', 'Neo Tapon', 'fish', 'muktuk', 'Bioacoustics', 'Strait of Juan de Fuca', 'Ocean Beach, Tasmania', 'killer whale', 'South Africa', 'United States Navy', 'dolphins', 'Canary Islands']"
737610,Exploding whale,"['Hatfield Marine Science Center', 'sperm whale', 'Ballantine Books', 'Hafnarfjörður', 'Faroe Islands', 'Kringvarp Føroya', 'Florence, Oregon', 'Three Rivers Press', 'The Register-Guard', 'Port Elizabeth', 'ABC News (Australia)', 'KVF', 'Cape Town', 'The Oregon Encyclopedia', 'autopsy', 'Lane County, Oregon', 'Salt Spring Island', 'KATU', 'Oregon Department of Transportation', 'Newport, Oregon', 'southern right whale', 'internet meme', 'Sydney Morning Herald', 'blubber', 'Morgunblaðið', 'Dave Barry', 'British Columbia', 'marine biologist', 'BBC News', 'Taiwan News', 'Trout River, Newfoundland and Labrador', 'United States Forest Service', 'Tainan City', 'International Whaling Commission', 'United Kingdom', 'Newfoundland and Labrador', 'necropsy', 'The Scotsman', 'Globster', 'Beached whale', 'The Oregonian', 'Dave Barry in Cyberspace', 'Washington, D.C.', 'Skegness', 'The Independent', 'The Wall Street Journal', 'National Cheng Kung University', 'Harbour Publishing', 'Daily Dispatch', 'Western Australia', 'WMV', 'Tay whale', 'scavenger', 'The Far Side', 'Miami Herald', 'San Francisco', 'MSNBC.com', 'Massachusetts', 'South African Broadcasting Corporation', 'blue whale', 'Reno 911!: Miami', 'gray whale', 'Taiwan', 'Portland, Oregon', 'QuickTime', 'Við Áir', 'Exploding animal', 'Department of Environment and Conservation (Western Australia)', 'Albany, Western Australia', 'Australia', 'humpback whale', 'Lincolnshire', 'South Africa', 'Iceland', 'shoal', 'Oxford University Press', 'Dawn (newspaper)', 'Huffington Post', 'Puffin Books']"
1419205,Whale fall,"['Eocene', 'Santa Catalina, California', 'lipid', 'abyssal zone', 'Deep-sea exploration', 'Bathyal zone', 'Trieste II', 'mussel', 'US Navy', 'bathyscaph', 'scanning sonar', 'whale shark', 'Cadaver', 'symbiotic', 'Mesozoic', 'Deep sea communities', 'crabs', 'hydrothermal vent', 'Chemotroph', 'Latin', 'mobulid', 'Vesicomyidae', 'squat lobster', 'chemosynthetic', 'hydrogen sulfide', 'blubber', 'Jelly-falls', 'Pliocene', 'Japan', 'hagfish', 'clams', 'eelpout', 'cetacea', 'marine biologist', 'shrimp', 'Polychaete', 'giant isopod', 'side-scan sonar', 'Lucinidae', 'prawn', 'Sweden', 'metric ton', 'oceanography', 'Hypoxia (environmental)', 'bacterial mat', 'Marine snow', 'Hydroids', 'oxygen', 'Mya (unit)', 'submarine', 'larvae', 'shipwrecks', 'University of Hawaii', 'sleeper shark', 'inorganic chemicals', 'scavenger', 'amphipods', 'lobster', 'Monterey Canyon', 'kelp', 'Antarctica', 'limpet', 'gray whale', 'Deep-submergence vehicle', 'amphipod', 'mollusc', 'DSV Alvin', 'Osedax', 'Oligocene', 'carbon', 'Washington (state)', 'Miocene', 'ecosystem', 'Holothuroidea', 'Mesopelagic zone', 'Osteopelta', 'Detritivore', 'Submarine canyon', 'Elasmobranchii']"
755842,Cetacean surfacing behaviour,"['baleen whale', 'barnacles', 'school (biology)', 'penguins', 'oceanic dolphin', 'minke whale', 'river dolphin', 'Mobula', 'Whale watching', 'Delphinus (genus)', 'pinnipeds', 'Odontocete', 'signalling theory', ""Blainville's beaked whale"", 'right whales', 'orca', 'Minke whale', 'centrifugal force', 'Mysticeti', 'Oman', 'Short-beaked common dolphin', 'Great white shark', 'unihemispheric slow-wave sleep', 'Ross Sea', 'Adriatic Sea', 'West Indies', 'bottlenose dolphin', 'Northern minke whale', 'whale watching', 'ectoparasites', 'Shantar Islands', 'Sperm whale', 'Steve Backshall', 'Breathing', 'Unimak Island', 'bowhead whale', 'Fin whale', 'remora', 'Massachusetts Bay', 'Clymene dolphin', 'Saint-Gilles, Réunion', 'Southern right whale dolphin', 'right whale', 'Orca', 'blowhole (anatomy)', 'NOAA', 'sei whale', 'Beached whale', 'spinner dolphin', 'treading water', 'pilot whales', 'Oceanic dolphin', 'Gray whale', 'Dalkey Island', 'North Atlantic right whale', 'pectoral fins', 'Avila Beach, California', 'Southern minke whale', 'paddling', 'Bottlenose dolphin', 'humpback whale', 'sharks', 'heart rate', 'Southern right whale', 'Azores', 'momentum', 'false killer whale', 'great white shark', 'Sacramento River', 'California sea lion', 'Odontoceti', 'Baffin Island', 'rorqual', 'sperm whales', 'Drake Passage', 'bait ball', 'marine mammals', 'flipper (anatomy)', 'Manta ray', 'Beluga whale', 'Stenella', 'newton second', 'humpback whales', 'dusky dolphin', 'Porpoise', 'Hourglass dolphin', 'gray whale', 'Churchill River (Hudson Bay)', 'Sei whale', 'South Georgia Island', 'Kitesurfing', 'fluke (tail)', 'Odontocetes', 'Cetacea', 'rostrum (anatomy)', '', 'Sochi', 'metabolic rate', 'oceanic whitetip shark', 'Delta and Dawn', ""Bryde's whale"", 'Hal Whitehead', 'Blue whale', 'predation', 'metabolism', 'killer whale', 'Ingrid Visser (researcher)', 'caudal peduncle', 'hierarchy']"
3150676,Category:Whale products,
23638008,Húsavík Whale Museum,"['Arctic Circle', 'Balaenoptera acutorostrata', 'Hyperoodon ampullatus', 'Ziphius cavirostris', 'Monodon monoceros', 'cetaceans', 'Globicephala melas', 'Mesoplodon bidens', 'whales', 'whaling', 'Iceland', 'Orcinus orca', 'Skjálfandi', 'Megaptera novaeangliae', 'Physeter macrocephalus', 'Keiko (orca)', 'Ministry of Education, Science and Culture (Iceland)', 'Greenland', 'Húsavík', 'photo identification']"
37042447,52-hertz whale,"['hydrophone', 'The Most Beautiful Moment in Life, Part 2', 'whale', 'New History Warfare Vol. 3: To See More Light', 'U.S. Army Corps of Engineers', 'Whale vocalization', 'BTS (band)', 'United States Department of Defense', 'National Marine Fisheries Service', 'Hertz', 'Aleutian Islands', 'Colin Stetson', 'tuba', 'Cropsey (film)', 'Pacific Ocean', 'hybrid (biology)', 'Adrian Grenier', 'Congenital disorder', 'Kodiak Islands', 'blue whale', 'Blue whale', 'Cold War', 'Kickstarter', 'Alfred P. Sloan Foundation', 'Woods Hole Oceanographic Institution', 'United States Navy', 'mockumentary', 'SOSUS', 'fin whale']"
37132109,Category:Whale sounds,
19600264,Whale watching in Sydney,"['Circular Quay', 'Macquarie University', 'National Parks and Wildlife Service (New South Wales)', 'Sydney', 'southern right whale', 'Magic Point', 'Whale watching', 'pilot whale', 'sei whale', 'Whale surfacing behaviour', 'Minke whale', 'Ben Buckler', ""Bryde's whale"", 'Port Jackson', 'East Australian Current', 'Botany Bay National Park', 'humpback whale', 'Kurnell', 'killer whale', 'common dolphin', 'Sperm whale', 'Darling Harbour', 'bottlenose dolphins', 'false killer whale']"
32401760,Category:Prehistoric whales,"['Eocene', 'whales', 'Miocene', 'prehistoric']"
39434697,Category:Blue whales,
